DAY,IS_MEMBER,TYPE,AVG_DURATION,COUNT
2021-02-09,true,electric_bike,13.658415842,202
2021-02-10,false,classic_bike,33.32183908,87
2021-02-10,true,classic_bike,18.382173382,819
2021-02-10,false,docked_bike,14.285714286,7
2021-02-10,false,electric_bike,12.836734694,49
2021-02-10,true,electric_bike,13.809338521,257
2021-02-11,false,classic_bike,23.133333333,90
2021-02-11,true,classic_bike,19.06504065,861
2021-02-11,false,docked_bike,20,5
2021-02-11,false,electric_bike,14.037037037,81
2021-02-11,true,electric_bike,14.128813559,295
2021-02-12,false,classic_bike,53.86627907,172
2021-02-12,true,classic_bike,14.095954845,1063
2021-02-12,false,docked_bike,39.789473684,19
2021-02-12,false,electric_bike,16.888888889,99
2021-02-12,true,electric_bike,13.47113164,433
2021-02-13,false,classic_bike,74.537313433,67
2021-02-13,true,classic_bike,20.115979381,388
2021-02-13,false,docked_bike,41.111111111,9
2021-02-13,false,electric_bike,15.583333333,60
2021-02-13,true,electric_bike,14.163841808,177
2021-02-14,false,classic_bike,93.234567901,81
2021-02-14,true,classic_bike,44.868852459,366
2021-02-14,false,docked_bike,13,6
2021-02-14,false,electric_bike,12.222222222,9
2021-02-14,true,electric_bike,41.380952381,21
2021-02-15,false,classic_bike,69.428571429,21
2021-02-15,true,classic_bike,57.086792453,265
2021-02-15,false,docked_bike,11,1
2021-02-15,false,electric_bike,18.090909091,11
2021-02-15,true,electric_bike,19.488372093,43
2021-02-16,false,classic_bike,267.702702703,37
2021-02-16,true,classic_bike,54.346820809,173
2021-02-16,false,docked_bike,3144.5,2
2021-02-16,false,electric_bike,13.923076923,13
2021-02-16,true,electric_bike,20.611111111,54
2021-02-17,false,classic_bike,100.725490196,51
2021-02-17,true,classic_bike,58.782828283,396
2021-02-17,false,docked_bike,1430,2
2021-02-17,false,electric_bike,13.766666667,30
2021-02-17,true,electric_bike,16.985507246,138
2021-02-18,false,classic_bike,35.242424242,66
2021-02-18,true,classic_bike,30.498960499,481
2021-02-18,false,docked_bike,50.833333333,6
2021-02-18,false,electric_bike,14.157894737,38
2021-02-18,true,electric_bike,13.13,200
2021-02-19,false,classic_bike,70.4625,80
2021-02-19,true,classic_bike,30.97689769,606
2021-02-19,false,docked_bike,1055.9,10
2021-02-19,false,electric_bike,15.637931034,58
2021-02-19,true,electric_bike,13.595959596,198
2021-02-20,false,classic_bike,90.957627119,118
2021-02-20,true,classic_bike,33.362537764,662
2021-02-20,false,docked_bike,793.882352941,17
2021-02-20,false,electric_bike,21.553846154,65
2021-02-20,true,electric_bike,16.31372549,255
2021-02-21,false,classic_bike,72.12962963,108
2021-02-21,true,classic_bike,26.258252427,515
2021-02-21,false,docked_bike,66.571428571,14
2021-02-21,false,electric_bike,15.109090909,55
2021-02-21,true,electric_bike,16.476190476,189
2021-02-22,false,classic_bike,53,110
2021-02-22,true,classic_bike,16.287656904,956
2021-02-22,false,docked_bike,51.4,10
2021-02-22,false,electric_bike,17.13253012,83
2021-02-22,true,electric_bike,14.421052632,323
2021-02-23,false,classic_bike,32.795302013,298
2021-02-23,true,classic_bike,18.065743945,1734
2021-02-23,false,docked_bike,98.841269841,63
2021-02-23,false,electric_bike,16.836601307,153
2021-02-23,true,electric_bike,14.463099631,542
2021-02-24,false,classic_bike,39.986394558,294
2021-02-24,true,classic_bike,12.398766701,1946
2021-02-24,false,docked_bike,78.807017544,57
2021-02-24,false,electric_bike,16.063953488,172
2021-02-24,true,electric_bike,12.979397781,631
2021-02-25,false,classic_bike,20.84789644,309
2021-02-25,true,classic_bike,13.230093071,1934
2021-02-25,false,docked_bike,47.947368421,57
2021-02-25,false,electric_bike,13.635869565,184
2021-02-25,true,electric_bike,11.466360856,654
2021-02-26,false,classic_bike,24.764069264,462
2021-02-26,true,classic_bike,13.163192905,2255
