station_id,dayofweek,hour,is_member,starts,ends,diff,lat,lng
596,6,17,false,7,9,2,42.04822,-87.68348
E008,6,17,false,8,4,-4,42.05049,-87.67782
604,6,17,false,3,5,2,42.05824,-87.67744
TA1308000009,6,17,true,10,8,-2,41.79522,-87.58075
TA1307000048,6,17,true,6,8,2,41.83855,-87.60821
TA1308000036,6,17,true,5,9,4,41.83883,-87.62186
TA1307000139,6,17,true,6,2,-4,41.84205,-87.61698
TA1305000001,6,17,true,6,3,-3,41.85262,-87.6265
15545,6,17,true,9,9,0,41.85627,-87.61334
13135,6,17,true,3,8,5,41.85753,-87.66157
13102,6,17,true,6,5,-1,41.85762,-87.61942
13150,6,17,true,5,7,2,41.85783,-87.62455
13164,6,17,true,6,7,1,41.85818,-87.65648
SL-012,6,17,true,8,6,-2,41.86038,-87.62581
TA1307000124,6,17,true,8,6,-2,41.86411,-87.62372
13431,6,17,true,15,11,-4,41.8661,-87.60728
TA1305000002,6,17,true,12,19,7,41.86721,-87.62597
15544,6,17,true,2,8,6,41.86723,-87.61536
KA1706005007,6,17,true,7,5,-2,41.86749,-87.63219
SL-005,6,17,true,16,13,-3,41.8679,-87.62304
644,6,17,true,5,4,-1,41.86859,-87.68625
13160,6,17,true,11,3,-8,41.86947,-87.65548
TA1309000010,6,17,true,7,12,5,41.87074,-87.62574
SL-008,6,17,true,7,8,1,41.87209,-87.62956
13332,6,17,true,6,8,2,41.87219,-87.6615
SL-011,6,17,true,3,7,4,41.87256,-87.63356
623,6,17,true,9,3,-6,41.87272,-87.62399
SL-007,6,17,true,2,7,5,41.87404,-87.6277
SL-010,6,17,true,6,1,-5,41.87501,-87.63309
624,6,17,true,5,3,-2,41.87626,-87.62923
15539,6,17,true,5,2,-3,41.87763,-87.64405
13158,6,17,true,7,7,0,41.87764,-87.64957
13157,6,17,true,5,6,1,41.87773,-87.6548
13206,6,17,true,5,4,-1,41.87794,-87.66201
638,6,17,true,7,4,-3,41.87827,-87.64078
TA1305000005,6,17,true,5,1,-4,41.87924,-87.62975
13011,6,17,true,7,9,2,41.87931,-87.63993
15667,6,17,true,5,5,0,41.8798,-87.68609
WL-011,6,17,true,5,8,3,41.88034,-87.64273
13300,6,17,true,24,21,-3,41.88097,-87.61675
13008,6,17,true,6,7,1,41.88105,-87.62408
TA1305000006,6,17,true,7,9,2,41.88122,-87.6296
TA1307000120,6,17,true,13,10,-3,41.88188,-87.64879
13341,6,17,true,5,2,-3,41.88208,-87.63985
13036,6,17,true,3,5,2,41.8821,-87.62513
TA1305000032,6,17,true,10,12,2,41.88218,-87.64109
13353,6,17,true,9,2,-7,41.88283,-87.6612
13409,6,17,true,7,2,-5,41.8831,-87.6511
WL-012,6,17,true,6,5,-1,41.88337,-87.6412
13053,6,17,true,17,10,-7,41.88365,-87.64863
TA1306000010,6,17,true,5,8,3,41.88419,-87.62961
15535,6,17,true,6,11,5,41.8846,-87.64455
TA1305000029,6,17,true,9,12,3,41.88466,-87.62787
13263,6,17,true,13,10,-3,41.88467,-87.61952
TA1306000015,6,17,true,6,12,6,41.88549,-87.65232
13021,6,17,true,3,8,5,41.88559,-87.64184
TA1307000111,6,17,true,5,6,1,41.88582,-87.63548
KA1503000012,6,17,true,6,10,4,41.88599,-87.63089
TA1305000011,6,17,true,6,12,6,41.886,-87.62418
TA1307000131,6,17,true,6,2,-4,41.88688,-87.62606
KA1503000064,6,17,true,7,10,3,41.88697,-87.61281
TA1305000022,6,17,true,12,10,-2,41.88817,-87.63656
TA1306000003,6,17,true,20,17,-3,41.88867,-87.64442
KA1503000043,6,17,true,21,13,-8,41.88918,-87.63851
13050,6,17,true,5,8,3,41.88919,-87.62775
TA1307000151,6,17,true,13,14,1,41.88993,-87.63427
636,6,17,true,4,7,3,41.88997,-87.63662
13427,6,17,true,5,1,-4,41.89054,-87.62205
13430,6,17,true,10,10,0,41.89077,-87.63169
TA1306000013,6,17,true,10,10,0,41.89083,-87.61852
RN-,6,17,true,9,12,3,41.89102,-87.63546
13434,6,17,true,3,8,5,41.89108,-87.66663
TA1307000117,6,17,true,13,21,8,41.89144,-87.62675
13033,6,17,true,15,12,-3,41.8916,-87.64835
13194,6,17,true,4,7,3,41.8918,-87.65878
TA1305000003,6,17,true,17,8,-9,41.89187,-87.62061
13022,6,17,true,24,16,-8,41.89227,-87.61205
